,Tanimoto_Similarity,DIPOLE_gasteiger,DIPOLE_mmff94,DIPOLE_eem2015bm,MIX_dGsolv298(kJ/mol),MIX_dHsolv298(kJ/mol),MIX_dSsolv298(kJ/mol/K),MIX_logK,MIX_logP,SOLUTE_PARAM_E_GC,SOLUTE_PARAM_S_GC,SOLUTE_PARAM_A_GC,SOLUTE_PARAM_B_GC,SOLUTE_PARAM_L_GC,SOLUTE_PARAM_V_GC,SOLUTE_PARAM_E_ML,SOLUTE_PARAM_S_ML,SOLUTE_PARAM_A_ML,SOLUTE_PARAM_B_ML,SOLUTE_PARAM_L_ML,SOLUTE_PARAM_V_ML,RDKIT_MaxAbsEStateIndex,RDKIT_MaxEStateIndex,RDKIT_MinAbsEStateIndex,RDKIT_MinEStateIndex,RDKIT_qed,RDKIT_SPS,RDKIT_MolWt,RDKIT_HeavyAtomMolWt,RDKIT_ExactMolWt,RDKIT_NumValenceElectrons,RDKIT_NumRadicalElectrons,RDKIT_MaxPartialCharge,RDKIT_MinPartialCharge,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_FpDensityMorgan1,RDKIT_FpDensityMorgan2,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_MWHI,RDKIT_BCUT2D_MWLOW,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_LOGPHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_BCUT2D_MRHI,RDKIT_BCUT2D_MRLOW,RDKIT_AvgIpc,RDKIT_BalabanJ,RDKIT_BertzCT,RDKIT_Chi0,RDKIT_Chi0n,RDKIT_Chi0v,RDKIT_Chi1,RDKIT_Chi1n,RDKIT_Chi1v,RDKIT_Chi2n,RDKIT_Chi2v,RDKIT_Chi3n,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_Chi4v,RDKIT_HallKierAlpha,RDKIT_Ipc,RDKIT_Kappa1,RDKIT_Kappa2,RDKIT_Kappa3,RDKIT_LabuteASA,RDKIT_PEOE_VSA1,RDKIT_PEOE_VSA10,RDKIT_PEOE_VSA11,RDKIT_PEOE_VSA12,RDKIT_PEOE_VSA13,RDKIT_PEOE_VSA14,RDKIT_PEOE_VSA2,RDKIT_PEOE_VSA3,RDKIT_PEOE_VSA4,RDKIT_PEOE_VSA5,RDKIT_PEOE_VSA6,RDKIT_PEOE_VSA7,RDKIT_PEOE_VSA8,RDKIT_PEOE_VSA9,RDKIT_SMR_VSA1,RDKIT_SMR_VSA10,RDKIT_SMR_VSA2,RDKIT_SMR_VSA3,RDKIT_SMR_VSA4,RDKIT_SMR_VSA5,RDKIT_SMR_VSA6,RDKIT_SMR_VSA7,RDKIT_SMR_VSA8,RDKIT_SMR_VSA9,RDKIT_SlogP_VSA1,RDKIT_SlogP_VSA10,RDKIT_SlogP_VSA11,RDKIT_SlogP_VSA12,RDKIT_SlogP_VSA2,RDKIT_SlogP_VSA3,RDKIT_SlogP_VSA4,RDKIT_SlogP_VSA5,RDKIT_SlogP_VSA6,RDKIT_SlogP_VSA7,RDKIT_SlogP_VSA8,RDKIT_SlogP_VSA9,RDKIT_TPSA,RDKIT_EState_VSA1,RDKIT_EState_VSA10,RDKIT_EState_VSA11,RDKIT_EState_VSA2,RDKIT_EState_VSA3,RDKIT_EState_VSA4,RDKIT_EState_VSA5,RDKIT_EState_VSA6,RDKIT_EState_VSA7,RDKIT_EState_VSA8,RDKIT_EState_VSA9,RDKIT_VSA_EState1,RDKIT_VSA_EState10,RDKIT_VSA_EState2,RDKIT_VSA_EState3,RDKIT_VSA_EState4,RDKIT_VSA_EState5,RDKIT_VSA_EState6,RDKIT_VSA_EState7,RDKIT_VSA_EState8,RDKIT_VSA_EState9,RDKIT_FractionCSP3,RDKIT_HeavyAtomCount,RDKIT_NHOHCount,RDKIT_NOCount,RDKIT_NumAliphaticCarbocycles,RDKIT_NumAliphaticHeterocycles,RDKIT_NumAliphaticRings,RDKIT_NumAromaticCarbocycles,RDKIT_NumAromaticHeterocycles,RDKIT_NumAromaticRings,RDKIT_NumHAcceptors,RDKIT_NumHDonors,RDKIT_NumHeteroatoms,RDKIT_NumRotatableBonds,RDKIT_NumSaturatedCarbocycles,RDKIT_NumSaturatedHeterocycles,RDKIT_NumSaturatedRings,RDKIT_RingCount,RDKIT_MolLogP,RDKIT_MolMR,RDKIT_fr_C_O,RDKIT_fr_C_O_noCOO,RDKIT_fr_aldehyde,RDKIT_fr_allylic_oxid,RDKIT_fr_benzene,RDKIT_fr_bicyclic,RDKIT_fr_ester,RDKIT_fr_ether,RDKIT_fr_lactone,STERIC_backbone_length,STERIC_ratioSideChainContainingAtoms,STERIC_wienerIndex,STERIC_chiralCenters,STERIC_radiusGyration,STERIC_spherocity,STERIC_vdwVolume,STERIC_totalVolume,STERIC_numBridgeheadAtoms,STERIC_numStereocenters,dS (J/mol/K),BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,BASE_polymerization_type_ROMP,BASE_polymerization_type_ROP,BASE_polymerization_type_cationic,BASE_polymerization_type_cyclic,BASE_polymerization_type_ionic,BASE_polymerization_type_misc,BASE_polymerization_type_vinyl,BASE_Polymer_State_g,BASE_Polymer_State_s,BASE_Polymer_State_s ,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_misc,BASE_Category_vinyl
11,1.0,0.33731601253793,0.487064328111265,0.11903993535196,-24.55,-47.23,-0.0761,4.3,4.16,0.5181,0.3826,0.0,0.156,3.2169,0.8347,0.4377,0.2954,0.0017,0.0716,3.1992,0.8347,2.5200462962963,2.5200462962963,0.829035493827161,-0.829035493827161,0.414055348006339,41.9090909090909,166.34,148.196,166.117777106,62,0,0.0479377139493466,-0.0851258715724908,0.0851258715724908,0.0479377139493466,1.09090909090909,1.81818181818182,2.09090909090909,28.3316208473433,10.0818320071712,2.41706468589993,-2.29722546725782,2.50892039764074,-2.30067499854517,6.77252916545759,0.674537910179481,2.41830614521906,2.1463254003607,187.539683071851,8.06047793231507,7.80096490832123,8.80096490832123,5.07149821071132,4.7550016297836,8.33235189897322,5.25275744223609,10.7263898736022,3.39126683457006,6.27986631648256,2.77649548870801,5.31800262502442,-0.0431168831168831,469.151392172498,7.59797532976379,2.2228152011898,1.19614414813176,70.7034519635334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.793074274711,30.2186355383267,8.07387230053312,0.0,0.0,8.07387230053312,0.0,0.0,11.8358120923228,38.0238575070471,0.0,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,8.07387230053312,0.0,11.8358120923228,12.841643245852,12.1520402136678,25.1822142611951,0.0,0.0,0.0,8.07387230053312,0.0,0.0,0.0,0.0,17.3769922924746,12.841643245852,0.0,0.0,31.793074274711,0.0,0.0,0.0,0.0,0.0,1.09490740740741,1.94758487654321,0.0,7.9208487654321,7.56013888888889,-0.829035493827161,0.8,11,0,0,2,0,2,0,0,0,0,0,1,1,1,0,1,2,3.2908,52.45,0,0,0,2,0,2,0,0,0,7,0.46,235.0,0,2.39054836433383,0.575433992760554,268.719269217457,1509.84105173485,2,3,-75.5,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
12,0.056,1.6361637751152,1.72793417972887,0.808352852437468,0.0,0.0,0.0,0.0,0.0,0.6939,0.7581,0.0,0.5777,5.7577,1.3748,0.5597,0.7444,0.0086,0.6498,5.0967,1.3748,5.85069444444445,5.85069444444445,0.436728395061728,-1.27348765432099,0.440840097211294,25.7,156.301,140.173,156.097041662,58,0,0.184053449879937,-0.4113528154137,0.4113528154137,0.184053449879937,1.4,2.1,2.5,28.3510291687887,10.3149061157768,2.19826006360927,-2.21078243751444,2.17137820790429,-2.29540017362773,6.6932687369947,0.241439001451729,2.11808538388728,2.31498100256561,134.683242547058,7.61288417512237,7.05451266040584,8.05451266040584,4.57829826198486,3.92298965322184,7.3312379436857,3.7741778757587103,8.23462500754581,1.47351218297609,2.48336839431726,1.15705558202095,2.26172242281441,-0.0831168831168831,180.037257630419,8.01772125203241,2.88560964359517,2.66716416543174,64.2162726466846,4.42600502611925,0.0,8.31739325269954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1520402136678,32.4826773068953,0.0,6.1039663877483,4.42600502611925,8.31739325269954,0.0,0.0,0.0,38.5866436946436,0.0,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,14.4213596404478,4.42600502611925,0.0,12.841643245852,12.1520402136678,19.6410340610433,0.0,0.0,9.23,8.31739325269954,0.0,0.0,0.0,6.1039663877483,0.0,12.841643245852,0.0,0.0,31.793074274711,4.42600502611925,5.85069444444445,0.0,0.0,0.0,0.0,0.0,0.0,7.24473765432099,6.70583333333333,-1.27348765432099,0.75,10,0,1,1,0,1,0,0,0,1,0,2,2,0,0,0,1,2.5565,46.593,0,0,0,1,0,0,0,0,0,7,0.42,221.0,0,2.44597571688578,0.393142074110044,244.290244743142,1372.58277430441,0,1,-49.95,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
13,0.0,4.95281816121293,3.69778725978096,1.42894816165505,-16.48,-32.57,-0.054,2.89,1.91,0.3185,1.2329,0.0,0.9332,4.8099,1.003,0.3308,1.2009,0.087,1.0379,4.2902,1.003,11.616875,11.616875,0.473966049382716,-3.17322530864198,0.518206154230182,23.9166666666667,210.242,195.122,210.04772212,72,0,0.464435208624987,-0.329965887991931,0.464435208624987,0.329965887991931,1.25,1.75,2.16666666666667,31.2062264335856,10.5017539784283,2.34876051831203,-2.27099552930413,2.53082714167486,-2.25939321792549,7.49927420668942,0.105264363970977,1.82540967546906,2.53359105852387,190.214991220041,9.24264068711929,7.701527100915049,9.59595429191497,5.4142135623731,4.01177115776178,8.88061293490608,3.67087369491758,10.0367402801436,1.17314176407428,5.25606308879865,0.837014431641876,4.72188111049452,0.326883116883117,313.970464180678,10.40800662479,3.59643091317954,3.37004548698612,73.9526925835644,4.21288923403102,0.0,8.31739325269954,0.0,0.0,7.82269712313217,9.04749432342364,4.56504828493133,0.0,0.0,0.0,26.0618556839693,0.0,13.2137639290258,17.825431842386,16.1400903758317,0.0,0.0,0.0,26.0618556839693,13.2137639290258,0.0,0.0,0.0,0.0,0.0,0.0,7.82269712313217,21.5311571817254,17.825431842386,0.0,6.4208216229260096,0.0,19.6410340610433,0.0,0.0,44.76,16.1400903758317,4.56504828493133,0.0,0.0,13.2137639290258,6.4208216229260096,0.0,0.0,19.6410340610433,0.0,13.2603835574547,26.9075694444444,0.0,0.0,0.0,0.0,0.0,0.0,0.790722631645251,6.80500267699672,-5.00329475308642,1.0,12,0,4,0,1,1,0,0,0,4,0,6,2,0,1,1,1,2.3829,48.5585,0,0,0,0,0,0,0,0,0,8,0.43,353.0,0,2.47536748482508,0.345707118550778,293.148293691771,1647.09932916529,0,1,6.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
14,1.0,0.0123048389516987,0.290408060178575,0.100669593733703,-18.89,-35.77,-0.0567,3.31,3.17,0.1975,0.0815,0.0,0.0,2.0974,0.7045,0.2333,0.1265,0.0016,-0.0027,2.2718,0.7045,2.51909722222222,2.51909722222222,0.524305555555556,-0.524305555555556,0.458293160969419,31.5,144.366,128.238,144.079053572,48,0,0.0420734346691853,-0.0697550028491711,0.0697550028491711,0.0420734346691853,0.75,1.0,1.0,28.4522749321696,11.6500505591258,2.4422674710258,-2.45943577643444,2.38820706898196,-2.54887160856089,7.11430393243845,1.33802936344798,1.20091027950953,2.42199544123697,83.096162813286,6.4142135623731,6.4142135623731,8.4142135623731,3.4142135623731,3.4142135623731,10.2426406871193,4.68198051533947,16.167261889578,1.9142135623731,17.2279220613579,2.5392135623731,22.8529220613579,0.433766233766234,25.2191158697001,6.5523372223711,1.47699872194986,1.22874505343962,54.3201049370376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5227852765382,0.0,16.1477446010662,0.0,0.0,16.1477446010662,0.0,0.0,0.0,37.5227852765382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1477446010662,0.0,0.0,0.0,0.0,37.5227852765382,0.0,0.0,0.0,16.1477446010662,0.0,0.0,0.0,0.0,0.0,0.0,11.3347398618139,0.0,26.1880454147243,0.0,0.0,0.0,0.0,0.0,3.36111111111111,0.0,0.0,0.0,10.0763888888889,-1.04861111111111,1.0,8,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,1,2.4952,44.578,0,0,0,0,0,0,0,0,0,6,0.4,119.0,0,2.13227925632609,0.405901347683771,195.432195794514,1098.06621944352,0,0,-18.1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
15,1.0,0.0123048389516987,0.699238307810554,0.100669593733703,-16.81,-32.68,-0.0532,2.95,3.32,0.1975,0.0815,0.0,0.0,2.0974,0.7045,0.2333,0.1265,0.0016,-0.0027,2.2718,0.7045,2.46875,2.46875,0.450617283950617,-0.450617283950617,0.408872783373603,29.0,100.237,88.141,100.070826914,36,0,0.047302220746215,-0.0693470275042519,0.0693470275042519,0.047302220746215,1.16666666666667,1.5,1.5,28.3320714285423,10.5343689965108,2.26992436085715,-2.30904609834698,2.30406146152854,-2.32339668660599,6.7932980407206,0.906246014053821,1.32217934551667,2.31144246627586,50.9587845558518,4.62132034355964,4.62132034355964,5.62132034355964,2.70710678118655,2.70710678118655,6.12132034355964,3.01776695296637,8.34619407771256,1.70710678118655,5.12132034355964,0.883883476483184,2.65165042944955,0.216883116883117,14.5439728006833,4.37773542521819,1.09200863703842,0.646320465189472,40.5741755772639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6030358841211,0.0,8.07387230053312,0.0,0.0,8.07387230053312,0.0,0.0,0.0,31.6030358841211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07387230053312,0.0,0.0,6.4208216229260096,0.0,25.1822142611951,0.0,0.0,0.0,8.07387230053312,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,12.0881915538329,0.0,13.0940227073622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18055555555556,1.52700617283951,4.9375,-0.450617283950617,1.0,6,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2.0985,31.713,0,0,0,0,0,0,0,0,0,6,0.25,71.0,0,1.70914238512086,0.57371570957672,146.574146845885,823.549664582643,0,0,-71.2,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
16,1.0,0.0123048389516987,1.15946467588329,0.100669593733703,-29.24,-71.58,-0.14,5.13,0.66,0.1975,0.0815,0.0,0.0,2.0974,0.7045,0.2333,0.1265,0.0016,-0.0027,2.2718,0.7045,6.1601388888888895,6.1601388888888895,2.07251543209877,-2.11072530864198,0.64419487656187,31.5,296.62,272.428,296.075165368,96,0,0.313636411188563,-0.415872016324529,0.415872016324529,0.313636411188563,0.375,0.5,0.625,28.5309012525565,11.8830031524338,2.49828046593801,-2.45905199576584,2.29604470025136,-2.63635221061721,6.92189394464198,0.238253784620325,1.6660250361028,2.97706074531819,205.211875635226,12.8284271247462,11.6329931618555,15.6329931618555,6.82842712474619,5.63299316185545,16.8989794855664,6.0075679475081,20.4721935853075,1.96632649518879,17.6969384566991,2.45103454359943,23.5593108923949,0.707532467532468,874.663143953969,14.76738571049,4.12283418408058,4.52688678088267,103.252772805879,16.4605883937538,0.0,0.0,0.0,0.0,34.2436568194638,0.0,0.0,0.0,0.0,0.0,52.3760908294487,0.0,0.0,16.4605883937538,34.2436568194638,0.0,0.0,0.0,52.3760908294487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2436568194638,16.4605883937538,0.0,0.0,0.0,52.3760908294487,0.0,0.0,36.92,34.2436568194638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.3760908294487,16.4605883937538,24.6405555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5801234567901,-8.4429012345679,1.0,16,0,4,0,1,1,0,0,0,4,0,8,0,0,1,1,1,2.8736,74.268,0,0,0,0,0,0,0,0,0,10,0.44,621.0,0,2.88846947735157,0.497715495302703,390.864391589028,2196.13243888705,0,0,-20.9,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
17,1.0,0.0123048389516987,1.2464660998001,0.100669593733703,-24.65,-54.07,-0.0987,4.32,0.34,0.1975,0.0815,0.0,0.0,2.0974,0.7045,0.2333,0.1265,0.0016,-0.0027,2.2718,0.7045,5.86479166666667,5.86479166666667,1.86284722222222,-1.86284722222222,0.587954600530154,31.5,222.465,204.321,222.056374026,72,0,0.313636411188563,-0.415872016324529,0.415872016324529,0.313636411188563,0.5,0.666666666666667,0.833333333333333,28.5293118960667,11.8845402750771,2.49482885168681,-2.45932803474323,2.29241836087004,-2.63647548547786,6.91920626887878,0.237573423061727,1.44202577509049,2.80802099676407,145.193119241564,9.62132034355964,8.72474487139159,11.7247448713916,5.12132034355964,4.22474487139159,12.6742346141748,4.50567596063108,15.3541451889806,1.47474487139159,13.2727038425243,1.83827590769957,17.6694831692961,0.530649350649351,161.506886810135,10.6104536745927,2.75835280176299,2.78560067106591,77.7816990443849,12.3454412953154,0.0,0.0,0.0,0.0,25.6827426145979,0.0,0.0,0.0,0.0,0.0,39.2820681220865,0.0,0.0,12.3454412953154,25.6827426145979,0.0,0.0,0.0,39.2820681220865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6827426145979,12.3454412953154,0.0,0.0,0.0,39.2820681220865,0.0,0.0,27.69,25.6827426145979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2820681220865,12.3454412953154,17.594375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5775,-5.58854166666667,1.0,12,0,3,0,1,1,0,0,0,3,0,6,0,0,1,1,1,2.1552,55.701,0,0,0,0,0,0,0,0,0,8,0.43,306.0,0,2.50581387418193,0.701837934518222,293.148293691771,1647.09932916529,0,0,-3.03,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
18,1.0,0.0123048389516987,0.559836435756252,0.100669593733703,-29.78,-53.53,-0.0797,5.22,3.66,0.1975,0.0815,0.0,0.0,2.0974,0.7045,0.2333,0.1265,0.0016,-0.0027,2.2718,0.7045,2.50578703703704,2.50578703703704,0.872824074074074,-0.872824074074074,0.556170424389755,20.8181818181818,162.308,148.196,162.086476978,58,0,0.0836065713237617,-0.065230442748929,0.0836065713237617,0.065230442748929,1.09090909090909,1.72727272727273,2.18181818181818,28.3323917518282,10.3650341452344,2.34940063560863,-2.36094596301678,2.30733020183314,-2.49487534718031,6.92416152737028,0.917180324948887,2.0206553399625,2.28870717108659,236.30950679031,7.73420451868201,7.00807168950777,8.00807168950777,5.31227849670909,4.36779038370951,7.2820039460826,3.78023896615753,8.4789095789068,2.92781927459386,7.56921302041765,1.83630369539622,4.82505547081318,-0.563116883116883,371.8005825531,7.10579389285947,2.4863010149274,1.1357616696236,69.2663276689313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5745855184356,0.0,0.0,8.07387230053312,0.0,13.2605979462206,0.0,0.0,0.0,25.05602453044,0.0,30.3318353423081,0.0,0.0,5.18672564568746,0.0,0.0,0.0,8.07387230053312,0.0,0.0,6.4208216229260096,30.3318353423081,18.635202907514,0.0,0.0,0.0,8.07387230053312,0.0,0.0,0.0,0.0,0.0,18.509013176759,5.18672564568746,0.0,36.8788466959891,0.0,0.0,0.0,0.0,1.65856481481481,0.0,0.0,14.0997256865709,1.46985764676241,2.50578703703704,-0.872824074074074,0.4,11,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,2,2.3759,51.925,0,0,0,0,1,0,0,0,0,6,0.54,256.0,0,2.52790397937357,0.547845603450465,268.719269217457,1509.84105173485,0,1,-57.4,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
19,1.0,0.0030979314755807,0.0081725659307989,0.004884014383862,-11.81,-20.53,-0.0293,2.07,3.07,0.144,0.189,0.0,0.0848,1.9245,0.6292,0.1505,0.0848,0.0008,0.0514,1.6888,0.6292,2.0,2.0,2.0,2.0,0.369511069442764,9.5,56.108,48.044,56.062600256,24,0,-0.0470019234101992,-0.0919421120202676,0.0919421120202676,0.0470019234101992,1.0,1.25,1.25,13.4264900098077,10.5973959043391,1.33875702986543,-1.49077368669089,1.56693206239382,-1.26218414996112,4.68048299474687,1.64345723682026,1.37095059445467,2.54919333848297,15.2192809488736,3.4142135623731,3.15470053837925,3.15470053837925,1.9142135623731,1.48803387171259,1.48803387171259,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.0,0.0,-0.26,6.85475297227334,3.74,2.74,1.74,27.1444743388351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1520402136678,13.8474743993812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474743993812,0.0,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474743993812,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999514613049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5824,20.488,0,0,0,2,0,0,0,0,0,4,0.33,29.0,0,1.612862482909,0.181801407781673,97.7160978972569,549.033109721762,0,2,-96.5,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
20,-1.0,0.0033059719620597,0.0094716904936421,0.0050755264828894,0.0,0.0,0.0,0.0,0.0,0.144,0.189,0.0,0.0848,1.9245,0.6292,0.1505,0.0848,0.0008,0.0514,1.6888,0.6292,2.0,2.0,2.0,2.0,0.369511069442764,9.5,56.108,48.044,56.062600256,24,0,-0.0470019234101992,-0.0919421120202676,0.0919421120202676,0.0470019234101992,1.0,1.25,1.25,13.4264900098077,10.5973959043391,1.33875702986543,-1.49077368669089,1.56693206239382,-1.26218414996112,4.68048299474687,1.64345723682026,1.37095059445467,2.54919333848297,15.2192809488736,3.4142135623731,3.15470053837925,3.15470053837925,1.9142135623731,1.48803387171259,1.48803387171259,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.0,0.0,-0.26,6.85475297227334,3.74,2.74,1.74,27.1444743388351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1520402136678,13.8474743993812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474743993812,0.0,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8474743993812,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999514613049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5824,20.488,0,0,0,2,0,0,0,0,0,4,0.33,29.0,0,1.61286256358077,0.181801464390264,97.7160978972569,549.033109721762,0,2,-184.5,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
21,-1.0,0.046843984562035,0.0035634493063407,0.0902604159177303,0.0,0.0,0.0,0.0,0.0,0.1279,0.1196,0.0,0.1045,2.6612,0.911,0.1085,0.0752,0.0009,0.0874,2.4714,0.911,2.16666666666667,2.16666666666667,0.717592592592592,0.717592592592592,0.427201952990666,11.3333333333333,84.162,72.066,84.093900384,36,0,-0.0290528119829837,-0.0914056917086321,0.0914056917086321,0.0290528119829837,1.33333333333333,1.83333333333333,1.83333333333333,13.8244872877242,10.2007639833257,1.75981405448463,-1.86457439901303,1.90109003077336,-1.72767560592915,4.78924820753587,0.829991876292716,1.34858789601242,3.03235494674298,42.0,4.99156383156272,4.73205080756888,4.73205080756888,2.77005561002966,2.39871747423554,2.39871747423554,1.7698003589195,1.7698003589195,0.577350269189626,0.577350269189626,0.384900179459751,0.384900179459751,-0.26,14.8344668561366,5.74,2.95097046413502,3.74,39.874358567628306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999514613049,12.841643245852,0.0,0.0,0.0,0.0,0.0,0.0,5.91790604616139,20.7712115990719,0.0,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91790604616139,20.7712115990719,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91790604616139,0.0,0.0,6.92373719969062,25.999514613049,0.0,0.0,0.0,0.0,0.0,0.0,0.717592592592592,0.0,4.24074074074074,6.375,0.0,0.666666666666667,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.2185,29.652,0,0,0,2,0,0,0,0,0,4,0.5,65.0,0,1.99459220611488,0.251184192950034,146.574146845885,823.549664582643,0,2,-182.0,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
22,1.0,0.0478389435445075,0.0029783052086353,0.088063991579405,-16.08,-29.52,-0.0451,2.82,3.99,0.1279,0.1196,0.0,0.1045,2.6612,0.911,0.1085,0.0752,0.0009,0.0874,2.4714,0.911,2.16666666666667,2.16666666666667,0.717592592592592,0.717592592592592,0.427201952990666,11.3333333333333,84.162,72.066,84.093900384,36,0,-0.0290528119829837,-0.0914056917086321,0.0914056917086321,0.0290528119829837,1.33333333333333,1.83333333333333,1.83333333333333,13.8244872877242,10.2007639833257,1.75981405448463,-1.86457439901303,1.90109003077336,-1.72767560592915,4.78924820753587,0.829991876292716,1.34858789601242,3.03235494674298,42.0,4.99156383156272,4.73205080756888,4.73205080756888,2.77005561002966,2.39871747423554,2.39871747423554,1.7698003589195,1.7698003589195,0.577350269189626,0.577350269189626,0.384900179459751,0.384900179459751,-0.26,14.8344668561366,5.74,2.95097046413502,3.74,39.874358567628306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.999514613049,12.841643245852,0.0,0.0,0.0,0.0,0.0,0.0,5.91790604616139,20.7712115990719,0.0,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91790604616139,20.7712115990719,12.1520402136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91790604616139,0.0,0.0,6.92373719969062,25.999514613049,0.0,0.0,0.0,0.0,0.0,0.0,0.717592592592592,0.0,4.24074074074074,6.375,0.0,0.666666666666667,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.2185,29.652,0,0,0,2,0,0,0,0,0,4,0.5,65.0,0,1.99459191637843,0.310217669157734,146.574146845885,823.549664582643,0,2,-130.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
